Age (bin),City,Education,Gender,GenderLabel,HouseOwnerFlag,HouseOwnerFlagLabel,MaritalStatus,MaritalStatusLabel,Occupation,PostalCode,Prospect,ProspectiveBuyerKey,StateProvinceCode,Age,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome
75,Downey,Bachelors,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,90241,Bonnie Chander,215,CA,34,1,0,1,"30,000"
35,Loveland,Bachelors,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,80537,Sabrina Navarro,1856,CO,51,1,1,1,"40,000"
70,Vacaville,Bachelors,F,FEMALE,0,NO,M,MARRIED,Management,95688,Katie Tang,1243,CA,35,2,0,2,"40,000"
65,Colma,Bachelors,F,FEMALE,0,NO,M,MARRIED,Management,94014,Alexis Garcia,42,CA,58,2,0,4,"50,000"
65,Colma,Bachelors,F,FEMALE,0,NO,M,MARRIED,Management,94014,Jennifer Flores,944,CA,46,2,0,4,"50,000"
60,Concord,Bachelors,F,FEMALE,0,NO,M,MARRIED,Management,94519,Diana Gomez,550,CA,46,2,0,4,"60,000"
60,Colma,Bachelors,F,FEMALE,0,NO,M,MARRIED,Management,94014,Christy Sharma,458,CA,58,2,0,4,"60,000"
45,Concord,Bachelors,F,FEMALE,0,NO,M,MARRIED,Professional,94519,Marissa Alexander,1343,CA,40,2,3,3,"60,000"
60,Colma,Bachelors,F,FEMALE,0,NO,M,MARRIED,Management,94014,Robyn Martin,1716,CA,45,3,0,4,"60,000"
60,Concord,Bachelors,F,FEMALE,0,NO,M,MARRIED,Management,94519,Hailey Bell,825,CA,59,3,0,5,"60,000"
45,Colma,Bachelors,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,94014,Ruth Engineer,1671,CA,47,3,4,4,"50,000"
40,Lakewood,Bachelors,F,FEMALE,0,NO,M,MARRIED,Management,90712,Heather Liu,839,CA,56,4,1,0,"120,000"
40,Shelton,Bachelors,F,FEMALE,0,NO,M,MARRIED,Professional,98584,Rachel Torres,1766,WA,55,4,5,5,"70,000"
40,Lebanon,Bachelors,F,FEMALE,0,NO,M,MARRIED,Professional,97355,Sydney Jackson,1824,OR,52,4,5,5,"80,000"
65,Lakeland,Graduate D,F,FEMALE,0,NO,M,MARRIED,Management,33801,Kate Shen,1235,FL,43,1,0,2,"50,000"
75,Sparks,Graduate D,F,FEMALE,0,NO,M,MARRIED,Management,89431,Alexandria Perry,113,NV,54,2,0,2,"50,000"
40,Edmonds,Graduate D,F,FEMALE,0,NO,M,MARRIED,Management,98020,Deanna Engineer,543,WA,38,3,5,5,"80,000"
30,Olympia,High Schoo,F,FEMALE,0,NO,M,MARRIED,Manual,98501,Kelsey Chander,1140,WA,41,1,0,0,"20,000"
35,Ballard,High Schoo,F,FEMALE,0,NO,M,MARRIED,Manual,98107,Sheila Castro,1795,WA,45,1,0,0,"30,000"
45,Baytown,High Schoo,F,FEMALE,0,NO,M,MARRIED,Manual,77520,Dominique Rana,596,TX,42,1,3,3,"20,000"
30,La Jolla,High Schoo,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,92806,Victoria Harris,2006,CA,33,1,0,0,"40,000"
45,Kirkland,High Schoo,F,FEMALE,0,NO,M,MARRIED,Manual,98033,Allison Cook,28,WA,32,2,2,2,"20,000"
60,Port Orchard,High Schoo,F,FEMALE,0,NO,M,MARRIED,Professional,98366,Kate Luo,1181,WA,42,2,0,4,"40,000"
60,Puyallup,High Schoo,F,FEMALE,0,NO,M,MARRIED,Professional,98371,Molly Arun,1352,WA,39,2,1,2,"40,000"
55,West Covina,High Schoo,F,FEMALE,0,NO,M,MARRIED,Professional,91791,Mackenzie Turner,1504,CA,39,2,1,2,"50,000"
25,Downey,High Schoo,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,90241,Hannah Hughes,836,CA,56,2,0,0,"30,000"
30,Colma,High Schoo,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,94014,Christy She,460,CA,34,2,0,0,"40,000"
30,Chantilly,High Schoo,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,20151,Kaylee Howard,1165,VA,59,2,0,0,"40,000"
50,Long Beach,High Schoo,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,90802,Sabrina Gil,1813,CA,54,2,0,2,"30,000"
55,Sarasota,High Schoo,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,34236,Christy Yuan,502,FL,53,2,0,3,"30,000"
35,Lynnwood,High Schoo,F,FEMALE,0,NO,M,MARRIED,Management,98036,Ashlee Pal,107,WA,33,3,0,0,"80,000"
60,Port Orchard,High Schoo,F,FEMALE,0,NO,M,MARRIED,Professional,98366,Abigail Brown,10,WA,53,3,0,5,"40,000"
55,Chula Vista,High Schoo,F,FEMALE,0,NO,M,MARRIED,Professional,91910,Raquel Jimenez,1702,CA,55,3,4,3,"100,000"
55,Woodland Hills,High Schoo,F,FEMALE,0,NO,M,MARRIED,Professional,91364,Krista Rubio,1221,CA,36,3,4,3,"100,000"
45,Colma,High Schoo,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,94014,Emma Martin,688,CA,30,3,3,4,"40,000"
45,Central Valley,High Schoo,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,10917,Rachel Stewart,1760,NY,41,3,3,4,"40,000"
35,Burlingame,High Schoo,F,FEMALE,0,NO,M,MARRIED,Management,94010,Erika Alonso,646,CA,59,4,5,0,"100,000"
50,Everett,High Schoo,F,FEMALE,0,NO,M,MARRIED,Professional,98201,Bianca Zhou,307,WA,60,4,4,2,"120,000"
30,Torrance,Partial Co,F,FEMALE,0,NO,M,MARRIED,Clerical,90505,Lydia Mehta,1297,CA,51,1,0,0,"30,000"
35,Wrentham,Partial Co,F,FEMALE,0,NO,M,MARRIED,Clerical,2093,Elizabeth Smith,709,MA,57,1,0,0,"30,000"
35,Snohomish,Partial Co,F,FEMALE,0,NO,M,MARRIED,Clerical,98296,Brandy Engineer,222,WA,50,1,0,0,"30,000"
35,West Covina,Partial Co,F,FEMALE,0,NO,M,MARRIED,Clerical,83301,Kate Sharma,1232,ID,37,1,2,2,"40,000"
30,Ballard,Partial Co,F,FEMALE,0,NO,M,MARRIED,Clerical,98107,Riley Sanders,1749,WA,30,1,3,3,"40,000"
85,Burien,Partial Co,F,FEMALE,0,NO,M,MARRIED,Manual,98168,Grace Sanders,810,WA,36,1,0,2,"20,000"
60,West Covina,Partial Co,F,FEMALE,0,NO,M,MARRIED,Professional,91791,Jessica Washington,1104,CA,59,1,1,2,"50,000"
50,Issaquah,Partial Co,F,FEMALE,0,NO,M,MARRIED,Professional,98027,Michele Srini,1494,WA,53,1,1,2,"90,000"
55,Colma,Partial Co,F,FEMALE,0,NO,M,MARRIED,Clerical,94014,Kari Rubio,1220,CA,47,2,0,2,"40,000"
45,Cedar Park,Partial Co,F,FEMALE,0,NO,M,MARRIED,Clerical,78613,Kelsey Raji,1210,TX,47,2,2,2,"30,000"
30,Bremerton,Partial Co,F,FEMALE,0,NO,M,MARRIED,Clerical,98312,Joy Sanz,1069,WA,32,2,3,3,"30,000"
55,West Covina,Partial Co,F,FEMALE,0,NO,M,MARRIED,Professional,91791,Alexandra Kelly,73,CA,36,2,0,3,"40,000"
30,Orlando,Partial Co,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,32804,Carly Nara,409,FL,44,2,0,0,"50,000"
30,Medford,Partial Co,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,55049,Mallory Suarez,1496,MN,31,2,0,0,"50,000"
30,Milwaukie,Partial Co,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,97222,Morgan Morgan,1432,OR,50,2,0,0,"50,000"
40,Concord,Partial Co,F,FEMALE,0,NO,M,MARRIED,Professional,94519,Dawn Cai,525,CA,42,3,4,4,"90,000"
45,Newport Beach,Partial Co,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,92625,Pamela Perez,1626,CA,53,3,4,5,"70,000"
45,Cedar City,Partial Co,F,FEMALE,0,NO,M,MARRIED,Professional,84720,Megan White,1512,UT,41,4,2,3,"100,000"
45,Concord,Partial Co,F,FEMALE,0,NO,M,MARRIED,Professional,94519,Cara Huang,373,CA,34,4,4,5,"80,000"
30,Torrance,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Manual,90505,Nicole Garcia,1536,CA,48,1,0,0,"20,000"
30,Tooele,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Clerical,84074,Megan Cooper,1377,UT,40,2,0,0,"30,000"
50,Spokane,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Clerical,99202,Ashlee Rai,124,WA,38,2,0,3,"20,000"
30,Downey,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Manual,37501,Faith Morris,748,TN,43,2,0,0,"10,000"
35,Ballard,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Manual,98107,Latasha Torres,1326,WA,34,2,0,0,"10,000"
25,Santa Monica,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Manual,90401,Isabella Ramirez,894,CA,45,2,0,0,"20,000"
25,Woodburn,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Manual,97071,Tracy Xie,1987,OR,51,2,0,0,"20,000"
55,Milwaukie,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,97222,Jasmine Sanchez,1066,OR,45,2,0,2,"60,000"
60,Chula Vista,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,91910,Tabitha Malhotra,1947,CA,30,2,0,5,"90,000"
55,Tacoma,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,98403,Alexia Jenkins,68,WA,51,2,1,3,"60,000"
60,Index,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Clerical,98256,Tracy Tang,1979,WA,38,3,0,5,"20,000"
30,Bellevue,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,98004,Molly Patel,1446,WA,53,3,0,0,"70,000"
30,Concord,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,94519,Gabrielle Hill,788,CA,60,3,0,0,"60,000"
60,Carnation,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,98014,Mackenzie Parker,1445,WA,39,3,1,2,"30,000"
60,Olympia,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,98501,Jada Kelly,988,WA,44,3,1,3,"60,000"
35,Bellflower,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Professional,90706,Aimee Xu,181,CA,48,4,0,0,"90,000"
35,Concord,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Professional,94519,Donna Xu,633,CA,48,4,5,0,"100,000"
35,San Francisco,Partial Hi,F,FEMALE,0,NO,M,MARRIED,Professional,94109,Melinda Blanco,1358,CA,35,4,5,0,"100,000"
40,Beaverton,Bachelors,F,FEMALE,0,NO,M,MARRIED,Clerical,97005,Stefanie Sanchez,1880,OR,55,0,0,0,"40,000"
50,Olympia,Bachelors,F,FEMALE,0,NO,M,MARRIED,Clerical,98501,Vanessa Alexander,2000,WA,49,0,0,1,"10,000"
55,Memphis,Bachelors,F,FEMALE,0,NO,M,MARRIED,Clerical,38103,Teresa Moreno,1949,TN,56,0,0,1,"20,000"
65,Barstow,Bachelors,F,FEMALE,0,NO,M,MARRIED,Clerical,92311,Makayla Richardson,1464,CA,58,0,0,1,"30,000"
40,Newport,Bachelors,F,FEMALE,0,NO,M,MARRIED,Clerical,41071,Natasha Jimenez,1544,KY,52,0,0,1,"30,000"
45,Milwaukie,Bachelors,F,FEMALE,0,NO,M,MARRIED,Management,97222,Gabrielle Bailey,767,OR,37,0,3,4,"80,000"
45,Olympia,Bachelors,F,FEMALE,0,NO,M,MARRIED,Manual,98501,Colleen Chander,330,WA,37,0,0,1,"10,000"
40,Beverly Hills,Bachelors,F,FEMALE,0,NO,M,MARRIED,Professional,90210,Tammy Subram,1978,CA,37,0,0,0,"90,000"
35,Berkeley,Bachelors,F,FEMALE,0,NO,M,MARRIED,Professional,94704,Rosa Xu,1773,CA,35,0,0,2,"90,000"
40,Colma,Bachelors,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,94014,Katie Aggarwal,1120,CA,30,0,0,1,"40,000"
35,Bellingham,Bachelors,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,98225,Madison Diaz,1384,WA,33,0,1,1,"40,000"
40,San Gabriel,Bachelors,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,91776,Hailey Powell,849,CA,49,0,3,3,"50,000"
40,Merritt Island,Bachelors,F,FEMALE,0,NO,M,MARRIED,Management,32952,Abigail Gray,48,FL,45,1,0,0,"80,000"
45,Clay,Bachelors,F,FEMALE,0,NO,M,MARRIED,Professional,13041,Amy Liu,79,NY,41,1,0,0,"70,000"
50,Cheyenne,Bachelors,F,FEMALE,0,NO,M,MARRIED,Professional,82001,Deanna Castro,529,WY,35,1,0,1,"90,000"
50,Palo Alto,Bachelors,F,FEMALE,0,NO,M,MARRIED,Professional,94303,Tamara Shan,1970,CA,59,1,0,2,"90,000"
50,Colma,Bachelors,F,FEMALE,0,NO,M,MARRIED,Professional,94014,Savannah Cooper,1803,CA,47,1,4,5,"80,000"
45,Corvallis,Bachelors,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,97330,Sharon Jai,1825,OR,38,1,0,1,"40,000"
55,Camarillo,Bachelors,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,93010,Amanda Kelly,72,CA,54,1,0,1,"30,000"
55,Colma,Bachelors,F,FEMALE,0,NO,M,MARRIED,Skilled Manual,94014,Abigail Flores,39,CA,54,1,0,1,"30,000"
45,Torrance,Bachelors,F,FEMALE,0,NO,M,MARRIED,Professional,90505,Carly Pal,418,CA,56,2,2,3,"60,000"
45,Bremerton,Graduate D,F,FEMALE,0,NO,M,MARRIED,Clerical,98312,Tonya Jai,1935,WA,47,0,0,1,"20,000"
50,Chula Vista,Graduate D,F,FEMALE,0,NO,M,MARRIED,Clerical,91910,Jasmine Howard,976,CA,51,0,0,3,"40,000"
40,Holland,Graduate D,F,FEMALE,0,NO,M,MARRIED,Management,49423,Mindy Anand,1351,MI,36,0,0,0,"100,000"
40,Detroit,Graduate D,F,FEMALE,0,NO,M,MARRIED,Management,48226,Tracy Kumar,1937,MI,38,0,0,1,"100,000"
40,Beaverton,Graduate D,F,FEMALE,0,NO,M,MARRIED,Professional,97005,Morgan Roberts,1465,OR,36,0,0,0,"60,000"
35,Bothell,Graduate D,F,FEMALE,0,NO,M,MARRIED,Professional,98011,Candace Suri,471,WA,33,0,0,1,"60,000"
